,ISBN,similarity,Title,Author,Publisher
4755,9.78898900775e+12,1.0,신학의 역사,<앨리스터 맥그래스> 저/<소기천> 등역,지와사랑
2800,9.78895731399e+12,0.580357142857,기독교 그 위험한 사상의 역사,<앨리스터 맥그래스> 저/<박규태> 역,국제제자훈련원(DMI)
419,9.78895731447e+12,0.560272536688,"고난이 묻다, 신학이 답하다",<앨리스터 맥그래스> 저,국제제자훈련원(DMI)
358,9.7889341093e+12,0.550308641975,종교 개혁 사상,<앨리스터 맥그래스> 저/<최재건> 역,기독교문서선교회
2048,9.78894210224e+12,0.111111111111,신의 열애,<진 에드워드> 저/<최요한> 역,죠이선교회
1587,9.78893211326e+12,0.110763888889,미사의 역사,<이노스 비피> 저/<김정훈> 역<프란코 비냐치아> 그림,가톨릭출판사
2360,9.78893411163e+12,0.101754385965,종교개혁의 역사,"<디아메이드 맥클로흐> 저/<이은재>,<조상원> 공역",CLC(기독교문서선교회)
1475,9.78893247212e+12,0.10126984127,가톨릭의 역사,<한스 큉> 저/<배국원>  역,을유문화사
3472,9.78893410257e+12,0.10126984127,신약의 십자가,레온 모리스 저/이승구 역,기독교문서선교회
3877,9.7889511166e+12,0.100694444444,신앙의 세계,"<프리드리히 슈바이처> 저/<고원석>,<손성현> 공역",대한기독교서회
2602,9.78897228509e+12,0.1,신앙의 빛,<프란치스코 교황> 저/<김영선> 역,한국천주교중앙협의회
1107,9.78893520826e+12,0.0991452991453,예수 왜곡의 역사,<바트어만> 저/<강주헌> 역,청림출판
421,9.78896360127e+12,0.0943089430894,신학이란 무엇인가,<알리스터 맥그래스> 저/<김기철> 역,복있는사람
1515,9.78893410029e+12,0.0932748538012,이스라엘의 역사,레온 우드 저/김의원 역,기독교문서선교회
2724,9.78897435389e+12,0.0920634920635,이스라엘 역사,<김영진> 저,이레서원
4064,9.78899415708e+12,0.0920634920635,바울신학 사색,<홍인규> 저,킹덤북스
108,9.78898431421e+12,0.0920634920635,스님의 주례사,<법륜> 저/<김점선> 그림,휴(休)
1229,9.78897808007e+12,0.0920634920635,하나님의 열심,<박영선> 저,새순출판사
3997,9.78896092108e+12,0.0920634920635,신학실종,<데이비드 웰스> 저/<김재영> 옮김,부흥과개혁사
3928,9.78893651028e+12,0.0920634920635,탕자의 정신사,<미야타 미츠오> 편,홍성사
3546,9.78893310703e+12,0.0908831908832,신앙의 인간 요셉,<송봉모> 저,바오로딸
3470,9.78898615661e+12,0.090625,오경 역사서,김이곤 등저,생활성서사
2364,9.78896237148e+12,0.090625,천상의 천사,<케빈 바스코니> 저/<조대연> 역,순전한나드
201,9.78893650217e+12,0.090625,비전의 사람,<이재철> 저,홍성사
1193,9.78896360114e+12,0.090625,약함의 자리,<마이클 호튼> 저/<김철규> 역,복있는사람
3577,9.7889847123e+12,0.090625,치유의 임재,<린 페인> 저/<천슬기> 역,서로사랑
4140,9.78895958102e+12,0.090625,예언의 은사,<케네스 해긴> 저/<정승혜> 역,베다니출판사
3736,9.78898562617e+12,0.0902222222222,화엄사,<신대현> 저,대한불교진흥원
12,9.78896097356e+12,0.0888888888889,왕의 재정,<김미진> 저/<홍성건> 감수,규장
3585,9.78899370507e+12,0.0888888888889,최고의 삶,<조엘 오스틴> 저/<정성묵> 역,긍정의힘
